Longitud,Latitud,weighted_adjusted_score
2.98048,50.64934,0.25
2.98048,50.64934,0.25
2.98048,50.64934,0.25
2.98048,50.64934,0.25
2.98048,50.64934,0.25
2.98048,50.64934,0.25
2.98048,50.64934,0.25
3.07328,50.6294,0.125
3.07328,50.6294,0.125
3.07328,50.6294,0.25
3.07328,50.6294,0.25
3.07328,50.6294,0.25
3.07328,50.6294,0.25
3.07328,50.6294,0.25
3.07328,50.6294,0.25
3.07328,50.6294,0.125
3.07328,50.6294,0.25
3.07328,50.6294,0.25
3.07328,50.6294,0.25
3.07328,50.6294,0.25
3.07328,50.6294,0.25
3.07328,50.6294,0.25
3.07328,50.6294,0.25
3.07328,50.6294,0.25
3.07328,50.6294,0.25
3.12128,50.62803,0.125
3.12128,50.62803,0.125
3.12128,50.62803,0.25
3.12128,50.62803,0.25
3.12128,50.62803,0.25
3.12128,50.62803,0.25
3.12128,50.62803,0.25
3.12128,50.62803,0.25
3.12128,50.62803,0.125
3.12128,50.62803,0.25
3.12128,50.62803,0.25
3.12128,50.62803,0.25
3.12128,50.62803,0.25
3.12128,50.62803,0.25
3.12128,50.62803,0.25
3.12128,50.62803,0.25
3.12128,50.62803,0.25
3.12128,50.62803,0.25
3.05301,50.61298,0.125
3.05301,50.61298,0.125
3.05301,50.61298,0.25
3.05301,50.61298,0.25
3.05301,50.61298,0.25
3.05301,50.61298,0.25
3.05301,50.61298,0.25
3.05301,50.61298,0.25
3.05301,50.61298,0.125
3.05301,50.61298,0.25
3.05301,50.61298,0.25
3.05301,50.61298,0.25
3.05301,50.61298,0.25
3.05301,50.61298,0.25
3.05301,50.61298,0.25
3.05301,50.61298,0.25
3.05301,50.61298,0.25
3.05301,50.61298,0.25
3.07328,50.6294,0.125
3.07328,50.6294,0.125
3.07328,50.6294,0.25
3.07328,50.6294,0.25
3.07328,50.6294,0.25
3.07328,50.6294,0.25
3.07328,50.6294,0.25
3.07328,50.6294,0.25
3.07328,50.6294,0.125
3.07328,50.6294,0.25
3.07328,50.6294,0.25
3.07328,50.6294,0.25
3.07328,50.6294,0.25
3.07328,50.6294,0.25
3.07328,50.6294,0.25
3.07328,50.6294,0.25
3.07328,50.6294,0.25
3.07328,50.6294,0.25
3.07328,50.6294,0.125
3.07328,50.6294,0.125
3.07328,50.6294,0.25
3.07328,50.6294,0.25
3.07328,50.6294,0.25
3.07328,50.6294,0.25
3.07328,50.6294,0.25
3.07328,50.6294,0.25
3.07328,50.6294,0.125
3.07328,50.6294,0.25
3.07328,50.6294,0.25
3.07328,50.6294,0.25
3.07328,50.6294,0.25
3.07328,50.6294,0.25
3.07328,50.6294,0.25
3.07328,50.6294,0.25
3.07328,50.6294,0.25
3.07328,50.6294,0.25
3.07328,50.6294,0.125
3.07328,50.6294,0.125
3.07328,50.6294,0.25
3.07328,50.6294,0.25
3.07328,50.6294,0.25
3.07328,50.6294,0.25
3.07328,50.6294,0.25
3.07328,50.6294,0.25
3.07328,50.6294,0.125
3.07328,50.6294,0.25
3.07328,50.6294,0.25
3.07328,50.6294,0.25
3.07328,50.6294,0.25
3.07328,50.6294,0.25
3.07328,50.6294,0.25
3.07328,50.6294,0.25
3.07328,50.6294,0.25
3.07328,50.6294,0.25
3.04622,50.63787,0.125
3.04622,50.63787,0.125
3.04622,50.63787,0.25
3.04622,50.63787,0.25
3.04622,50.63787,0.25
3.04622,50.63787,0.25
3.04622,50.63787,0.25
3.04622,50.63787,0.25
3.04622,50.63787,0.125
3.04622,50.63787,0.25
3.04622,50.63787,0.25
3.04622,50.63787,0.25
3.04622,50.63787,0.25
3.04622,50.63787,0.25
3.04622,50.63787,0.25
3.04622,50.63787,0.25
3.04622,50.63787,0.25
3.04622,50.63787,0.25
3.00166,50.62631,0.125
3.00166,50.62631,0.125
3.00166,50.62631,0.25
3.00166,50.62631,0.25
3.00166,50.62631,0.25
3.00166,50.62631,0.25
3.00166,50.62631,0.25
3.00166,50.62631,0.25
3.00166,50.62631,0.125
3.00166,50.62631,0.25
3.00166,50.62631,0.25
3.00166,50.62631,0.25
3.00166,50.62631,0.25
3.00166,50.62631,0.25
3.00166,50.62631,0.25
3.00166,50.62631,0.25
3.00166,50.62631,0.25
3.00166,50.62631,0.25
3.05768,50.60919,0.125
3.05768,50.60919,0.125
3.05768,50.60919,0.25
3.05768,50.60919,0.25
3.05768,50.60919,0.25
3.05768,50.60919,0.25
3.05768,50.60919,0.25
3.05768,50.60919,0.25
3.05768,50.60919,0.125
3.05768,50.60919,0.25
3.05768,50.60919,0.25
3.05768,50.60919,0.25
3.05768,50.60919,0.25
3.05768,50.60919,0.25
3.05768,50.60919,0.25
3.05768,50.60919,0.25
3.05768,50.60919,0.25
3.05768,50.60919,0.25
3.07328,50.6294,0.125
3.07328,50.6294,0.125
3.07328,50.6294,0.25
3.07328,50.6294,0.25
3.07328,50.6294,0.25
3.07328,50.6294,0.25
3.07328,50.6294,0.25
3.07328,50.6294,0.25
3.07328,50.6294,0.125
3.07328,50.6294,0.25
3.07328,50.6294,0.25
3.07328,50.6294,0.25
3.07328,50.6294,0.25
3.07328,50.6294,0.25
3.07328,50.6294,0.25
3.07328,50.6294,0.25
3.07328,50.6294,0.25
3.07328,50.6294,0.25
2.99706,50.6549,0.125
2.99706,50.6549,0.125
2.99706,50.6549,0.25
2.99706,50.6549,0.25
2.99706,50.6549,0.25
2.99706,50.6549,0.25
2.99706,50.6549,0.25
2.99706,50.6549,0.25
2.99706,50.6549,0.125
2.99706,50.6549,0.25
2.99706,50.6549,0.25
2.99706,50.6549,0.25
2.99706,50.6549,0.25
2.99706,50.6549,0.25
2.99706,50.6549,0.25
2.99706,50.6549,0.25
2.99706,50.6549,0.25
2.99706,50.6549,0.25
3.07328,50.6294,0.125
3.07328,50.6294,0.125
3.07328,50.6294,0.25
3.07328,50.6294,0.25
