code_activite_icpe,origine_pollution,type_pollution,produits,etat_site,code_insee
J1,Pollution due au fonctionnement de l'installation,"Sol pollué, Nappe polluée",", , , , , , , , , , , , , , , , , , , , , , , , , ",Absence de surveillance justifiée,25388
J51,Pollution due au fonctionnement de l'installation,Sol pollué,", , , , , , , , , , , , , , , , , , , , , , , , , ",,25428
H,Liquidation ou cessation d'activité,"Dépôt de déchets, Dépôt de produits divers, Sol pollué",", , , , , , , , , , , , , , , , , , , , , , , , , ",Absence de surveillance justifiée,25526
H1,Pollution due au fonctionnement de l'installation,Nappe polluée,", , , , , , , , , , , , , , , , , , , , , , , , , ",,25367
C12,Pollution due au fonctionnement de l'installation,"Dépôt de déchets, Dépôt aérien, Dépôt enterré, Dépôt de produits divers, Sol pollué",", , , , , , , , , , , , , , , , , , , , , , , , , ",,25159
L23,Origine accidentelle,"Sol pollué, Nappe polluée",", , , , , , , , , , , , , , , , , , , , , , , , , ",,25284
D13,Origine accidentelle,Sol pollué,", , , , , , , , , , , , , , , , , , , , , , , , , ",,25056
D13,Pollution due au fonctionnement de l'installation,"Sol pollué, Nappe polluée",", , , , , , , , , , , , , , , , , , , , , , , , , ",,25056
J53,,,", , , , , , , , , , , , , , , , , , , , , , , , , ",,25196
H13,Pollution due au fonctionnement de l'installation,Sol pollué,", , , , , , , , , , , , , , , , , , , , , , , , , ",,25304
,Pollution due au fonctionnement de l'installation,Dépôt de déchets,", , , , , , , , , , , , , , , , , , , , , , , , , ",Absence de surveillance justifiée,25240
,Pollution due au fonctionnement de l'installation,Dépôt de déchets,", , , , , , , , , , , , , , , , , , , , , , , , , ",Absence de surveillance justifiée,25050
H11,Pollution due au fonctionnement de l'installation,"Dépôt de déchets, Dépôt de produits divers, Sol pollué",", , , , , , , , , , , , , , , , , , , , , , , , , ",Absence de surveillance justifiée,25539
D72,Pollution due au fonctionnement de l'installation,Sol pollué,", , , , , , , , , , , , , , , , , , , , , , , , , ",,25031
,Pollution due au fonctionnement de l'installation,"Dépôt de déchets, Dépôt aérien, Sol pollué, Nappe polluée",", , , , , , , , , , , , , , , , , , , , , , , , , ",,25367
,,,", , , , , , , , , , , , , , , , , , , , , , , , , ",,25296
H15,,,", , , , , , , , , , , , , , , , , , , , , , , , , ",,25334
,,,", , , , , , , , , , , , , , , , , , , , , , , , , ",,25154
J51,Pollution due au fonctionnement de l'installation,"Dépôt de déchets, Sol pollué, Nappe polluée",", , , , , , , , , , , , , , , , , , , , , , , , , ",,25159
K32,,,", , , , , , , , , , , , , , , , , , , , , , , , , ",,25228
D13,Origine accidentelle,"Sol pollué, Nappe polluée",", , , , , , , , , , , , , , , , , , , , , , , , , ",,25047
H13,Liquidation ou cessation d'activité,"Dépôt de déchets, Dépôt aérien",", , , , , , , , , , , , , , , , , , , , , , , , , ",Surveillance différée en raison de procédure en cours,25560
,Pollution due au fonctionnement de l'installation,"Sol pollué, Nappe polluée",", , , , , , , , , , , , , , , , , , , , , , , , , ",,25547
H,Pollution due au fonctionnement de l'installation,Sol pollué,", , , , , , , , , , , , , , , , , , , , , , , , , ",Absence de surveillance justifiée,25020
H14,Pollution due au fonctionnement de l'installation,"Dépôt aérien, Sol pollué",", , , , , , , , , , , , , , , , , , , , , , , , , ",Absence de surveillance justifiée,25127
C13,Pollution due au fonctionnement de l'installation,"Sol pollué, Nappe polluée",", , , , , , , , , , , , , , , , , , , , , , , , , ",,25390
C13,Pollution due au fonctionnement de l'installation,Sol pollué,", , , , , , , , , , , , , , , , , , , , , , , , , ",Absence de surveillance justifiée,25512
D13,Pollution due au fonctionnement de l'installation,Sol pollué,", , , , , , , , , , , , , , , , , , , , , , , , , ",,25058
D13,Pollution due au fonctionnement de l'installation,"Sol pollué, Nappe polluée",", , , , , , , , , , , , , , , , , , , , , , , , , ",,25462
H,Pollution due au fonctionnement de l'installation,Sol pollué,", , , , , , , , , , , , , , , , , , , , , , , , , ",,25463
H1,Pollution due au fonctionnement de l'installation,"Sol pollué, Nappe polluée",", , , , , , , , , , , , , , , , , , , , , , , , , ",,25228
,Pollution due au fonctionnement de l'installation,Sol pollué,", , , , , , , , , , , , , , , , , , , , , , , , , ",Absence de surveillance justifiée,25056
,Pollution due au fonctionnement de l'installation,"Sol pollué, Nappe polluée",", , , , , , , , , , , , , , , , , , , , , , , , , ",,25539
,Pollution due au fonctionnement de l'installation,Sol pollué,", , , , , , , , , , , , , , , , , , , , , , , , , ",Absence de surveillance justifiée,25519
L23,Pollution due au fonctionnement de l'installation,"Sol pollué, Nappe polluée",", , , , , , , , , , , , , , , , , , , , , , , , , ",,25388
D13,Origine accidentelle,"Sol pollué, Nappe polluée",", , , , , , , , , , , , , , , , , , , , , , , , , ",,25388
K52,Origine accidentelle,Sol pollué,", , , , , , , , , , , , , , , , , , , , , , , , , ",,25031
K5,Pollution due au fonctionnement de l'installation,"Sol pollué, Nappe polluée",", , , , , , , , , , , , , , , , , , , , , , , , , ",,25031
C11,Pollution due au fonctionnement de l'installation,Sol pollué,", , , , , , , , , , , , , , , , , , , , , , , , , ",,25173
D13,Origine accidentelle,"Sol pollué, Nappe polluée",", , , , , , , , , , , , , , , , , , , , , , , , , ",,25614
D13,Pollution due au fonctionnement de l'installation,Sol pollué,", , , , , , , , , , , , , , , , , , , , , , , , , ",,25196
H11,,,", , , , , , , , , , , , , , , , , , , , , , , , , ",,25609
D13,Origine accidentelle,Sol pollué,", , , , , , , , , , , , , , , , , , , , , , , , , ",Absence de surveillance justifiée,25411
C13,,"Sol pollué, Nappe polluée",", , , , , , , , , , , , , , , , , , , , , , , , , ",,25085
C21,Origine accidentelle,Sol pollué,", , , , , , , , , , , , , , , , , , , , , , , , , ",,25084
H11,Pollution due au fonctionnement de l'installation,Sol pollué,", , , , , , , , , , , , , , , , , , , , , , , , , ",,25127
D13,Origine accidentelle,"Sol pollué, Nappe polluée",", , , , , , , , , , , , , , , , , , , , , , , , , ",,26252
H1,Origine accidentelle,"Sol pollué, Nappe polluée",", , , , , , , , , , , , , , , , , , , , , , , , , ",,26341
L23,Origine accidentelle,Dépôt de produits divers,", , , , , , , , , , , , , , , , , , , , , , , , , ",,26252
H1,Pollution due au fonctionnement de l'installation,"Sol pollué, Nappe polluée",", , , , , , , , , , , , , , , , , , , , , , , , , ",Absence de surveillance justifiée,26064
D61,Origine accidentelle,"Sol pollué, Nappe polluée",", , , , , , , , , , , , , , , , , , , , , , , , , ",Absence de surveillance justifiée,26252
H13,Liquidation ou cessation d'activité,Sol pollué,", , , , , , , , , , , , , , , , , , , , , , , , , ",Absence de surveillance justifiée,26058
,Pollution due au fonctionnement de l'installation,Dépôt de déchets,", , , , , , , , , , , , , , , , , , , , , , , , , ",,26252
,,"Dépôt de déchets, Dépôt enterré",", , , , , , , , , , , , , , , , , , , , , , , , , ",,26009
L23,Origine accidentelle,Dépôt enterré,", , , , , , , , , , , , , , , , , , , , , , , , , ",,26252
,Pollution due au fonctionnement de l'installation,Sol pollué,", , , , , , , , , , , , , , , , , , , , , , , , , ",,26362
K3,Autre,"Dépôt de déchets, Dépôt enterré",", , , , , , , , , , , , , , , , , , , , , , , , , ",,26342
H,Pollution due au fonctionnement de l'installation,"Sol pollué, Nappe polluée",", , , , , , , , , , , , , , , , , , , , , , , , , ",,26058
E21,Pollution due au fonctionnement de l'installation,Sol pollué,", , , , , , , , , , , , , , , , , , , , , , , , , ",,26281
E12,Pollution due au fonctionnement de l'installation,"Sol pollué, Nappe polluée",", , , , , , , , , , , , , , , , , , , , , , , , , ",Absence de surveillance justifiée,26362
E12,,,", , , , , , , , , , , , , , , , , , , , , , , , , ",,26362
H12,,,", , , , , , , , , , , , , , , , , , , , , , , , , ",,26362
D13,Pollution due au fonctionnement de l'installation,Sol pollué,", , , , , , , , , , , , , , , , , , , , , , , , , ",Absence de surveillance justifiée,26362
J1,,Pollution non caractérisée,", , , , , , , , , , , , , , , , , , , , , , , , , ",Absence de surveillance justifiée,26108
J1,Liquidation ou cessation d'activité,,", , , , , , , , , , , , , , , , , , , , , , , , , ",Absence de surveillance justifiée,26333
J1,,Pollution non caractérisée,", , , , , , , , , , , , , , , , , , , , , , , , , ",Absence de surveillance justifiée,26198
K22,Liquidation ou cessation d'activité,Dépôt de déchets,", , , , , , , , , , , , , , , , , , , , , , , , , ",Absence de surveillance justifiée,26039
H13,Liquidation ou cessation d'activité,"Dépôt de déchets, Dépôt aérien, Dépôt de produits divers",", , , , , , , , , , , , , , , , , , , , , , , , , ",Absence de surveillance justifiée,26116
H15,Liquidation ou cessation d'activité,Dépôt de déchets,", , , , , , , , , , , , , , , , , , , , , , , , , ",Absence de surveillance justifiée,26362
D13,Origine accidentelle,"Sol pollué, Nappe polluée",", , , , , , , , , , , , , , , , , , , , , , , , , ",,26252
L23,Origine accidentelle,Nappe polluée,", , , , , , , , , , , , , , , , , , , , , , , , , ",,26198
H18,Origine accidentelle,"Sol pollué, Nappe polluée",", , , , , , , , , , , , , , , , , , , , , , , , , ",,26362
D81,Pollution due au fonctionnement de l'installation,Sol pollué,", , , , , , , , , , , , , , , , , , , , , , , , , ",,26058
,Pollution due au fonctionnement de l'installation,Sol pollué,", , , , , , , , , , , , , , , , , , , , , , , , , ",,26323
,Origine accidentelle,"Sol pollué, Nappe polluée",", , , , , , , , , , , , , , , , , , , , , , , , , ",,26165
K31,Pollution due au fonctionnement de l'installation,"Dépôt de déchets, Sol pollué, Nappe polluée",", , , , , , , , , , , , , , , , , , , , , , , , , ",,26113
D4,Pollution due au fonctionnement de l'installation,"Sol pollué, Nappe polluée",", , , , , , , , , , , , , , , , , , , , , , , , , ",Absence de surveillance justifiée,26281
,,,", , , , , , , , , , , , , , , , , , , , , , , , , ",,26074
H13,Pollution due au fonctionnement de l'installation,"Sol pollué, Nappe polluée",", , , , , , , , , , , , , , , , , , , , , , , , , ",Absence de surveillance justifiée,26250
D41,Pollution due au fonctionnement de l'installation,"Sol pollué, Nappe polluée",", , , , , , , , , , , , , , , , , , , , , , , , , ",,26058
K22,Pollution due au fonctionnement de l'installation,"Dépôt de déchets, Dépôt enterré",", , , , , , , , , , , , , , , , , , , , , , , , , ",,26275
D72,Pollution due au fonctionnement de l'installation,"Dépôt de déchets, Sol pollué",", , , , , , , , , , , , , , , , , , , , , , , , , ",,26325
E,Pollution due au fonctionnement de l'installation,"Dépôt de déchets, Sol pollué",", , , , , , , , , , , , , , , , , , , , , , , , , ",,26281
,Pollution due au fonctionnement de l'installation,Nappe polluée,", , , , , , , , , , , , , , , , , , , , , , , , , ",,26324
L23,Origine accidentelle,"Sol pollué, Nappe polluée",", , , , , , , , , , , , , , , , , , , , , , , , , ",,26324
,Dépôt sauvage de déchets,"Dépôt de déchets, Sol pollué",", , , , , , , , , , , , , , , , , , , , , , , , , ",Surveillance différée en raison de procédure en cours,26203
D13,Pollution due au fonctionnement de l'installation,"Sol pollué, Nappe polluée",", , , , , , , , , , , , , , , , , , , , , , , , , ",,26362
D72,Pollution due au fonctionnement de l'installation,"Dépôt de déchets, Sol pollué",", , , , , , , , , , , , , , , , , , , , , , , , , ",,26119
J52,Pollution due au fonctionnement de l'installation,"Dépôt de déchets, Dépôt de produits divers, Sol pollué",", , , , , , , , , , , , , , , , , , , , , , , , , ",,26281
K35,Pollution due au fonctionnement de l'installation,"Dépôt de déchets, Sol pollué",", , , , , , , , , , , , , , , , , , , , , , , , , ",Absence de surveillance justifiée,26362
K21,Liquidation ou cessation d'activité,"Dépôt de déchets, Dépôt enterré",", , , , , , , , , , , , , , , , , , , , , , , , , ",,26165
D13,Pollution due au fonctionnement de l'installation,"Sol pollué, Nappe polluée",", , , , , , , , , , , , , , , , , , , , , , , , , ",,26005
I2,Origine accidentelle,"Dépôt enterré, Nappe polluée",", , , , , , , , , , , , , , , , , , , , , , , , , ",,26058
F32,,"Sol pollué, Nappe polluée",", , , , , , , , , , , , , , , , , , , , , , , , , ",,26058
H13,Pollution due au fonctionnement de l'installation,"Sol pollué, Nappe polluée",", , , , , , , , , , , , , , , , , , , , , , , , , ",,26333
D62,Pollution due au fonctionnement de l'installation,"Sol pollué, Nappe polluée",", , , , , , , , , , , , , , , , , , , , , , , , , ",,26252
K52,Pollution due au fonctionnement de l'installation,Sol pollué,", , , , , , , , , , , , , , , , , , , , , , , , , ",Surveillance différée en raison de procédure en cours,26058
H1,Pollution due au fonctionnement de l'installation,Sol pollué,", , , , , , , , , , , , , , , , , , , , , , , , , ",,26362
G12,Pollution due au fonctionnement de l'installation,"Dépôt de déchets, Sol pollué",", , , , , , , , , , , , , , , , , , , , , , , , , ",,26333
,Pollution due au fonctionnement de l'installation,Sol pollué,", , , , , , , , , , , , , , , , , , , , , , , , , ",Absence de surveillance justifiée,26005
D12,Pollution due au fonctionnement de l'installation,Sol pollué,", , , , , , , , , , , , , , , , , , , , , , , , , ",,26325
,Origine accidentelle,Sol pollué,", , , , , , , , , , , , , , , , , , , , , , , , , ",,26324
D13,Pollution due au fonctionnement de l'installation,"Dépôt enterré, Sol pollué",", , , , , , , , , , , , , , , , , , , , , , , , , ",,26281
D13,Pollution due au fonctionnement de l'installation,Sol pollué,", , , , , , , , , , , , , , , , , , , , , , , , , ",Absence de surveillance justifiée,26281
D13,Pollution due au fonctionnement de l'installation,"Dépôt enterré, Sol pollué, Nappe polluée",", , , , , , , , , , , , , , , , , , , , , , , , , ",,26333
D13,Origine accidentelle,Sol pollué,", , , , , , , , , , , , , , , , , , , , , , , , , ",,26198
L23,Pollution due au fonctionnement de l'installation,Sol pollué,", , , , , , , , , , , , , , , , , , , , , , , , , ",Absence de surveillance justifiée,26113
K51,Dépôt sauvage de déchets,"Dépôt de déchets, Sol pollué",", , , , , , , , , , , , , , , , , , , , , , , , , ",,26166
C22,Pollution due au fonctionnement de l'installation,"Sol pollué, Nappe polluée",", , , , , , , , , , , , , , , , , , , , , , , , , ",,26011
,Pollution due au fonctionnement de l'installation,Sol pollué,", , , , , , , , , , , , , , , , , , , , , , , , , ",Absence de surveillance justifiée,26058
H13,Origine accidentelle,Sol pollué,", , , , , , , , , , , , , , , , , , , , , , , , , ",,26057
D13,Pollution due au fonctionnement de l'installation,Sol pollué,", , , , , , , , , , , , , , , , , , , , , , , , , ",,26307
,Origine accidentelle,Dépôt de déchets,", , , , , , , , , , , , , , , , , , , , , , , , , ",,26166
D72,Pollution due au fonctionnement de l'installation,"Dépôt de déchets, Dépôt aérien, Dépôt enterré, Dépôt de produits divers, Sol pollué",", , , , , , , , , , , , , , , , , , , , , , , , , ",,26316
D34,Liquidation ou cessation d'activité,"Dépôt de déchets, Dépôt de produits divers",", , , , , , , , , , , , , , , , , , , , , , , , , ",,26338
M1,Origine accidentelle,Sol pollué,", , , , , , , , , , , , , , , , , , , , , , , , , ",,26301
C22,Pollution due au fonctionnement de l'installation,"Dépôt de déchets, Sol pollué",", , , , , , , , , , , , , , , , , , , , , , , , , ",,26160
,Pollution due au fonctionnement de l'installation,Sol pollué,", , , , , , , , , , , , , , , , , , , , , , , , , ",,26302
H13,,Sol pollué,", , , , , , , , , , , , , , , , , , , , , , , , , ",Absence de surveillance justifiée,26362
,,Sol pollué,", , , , , , , , , , , , , , , , , , , , , , , , , ",,26281
K5,,Sol pollué,", , , , , , , , , , , , , , , , , , , , , , , , , ",,26281
H11,Pollution due au fonctionnement de l'installation,Sol pollué,", , , , , , , , , , , , , , , , , , , , , , , , , ",,26118
,Origine accidentelle,Sol pollué,", , , , , , , , , , , , , , , , , , , , , , , , , ",Absence de surveillance justifiée,26330
G22,Pollution due au fonctionnement de l'installation,"Sol pollué, Nappe polluée",", , , , , , , , , , , , , , , , , , , , , , , , , ",,26124
G2,Pollution due au fonctionnement de l'installation,Sol pollué,", , , , , , , , , , , , , , , , , , , , , , , , , ",Absence de surveillance justifiée,26252
,Dépôt sauvage de déchets,"Dépôt de déchets, Dépôt aérien, Sol pollué",", , , , , , , , , , , , , , , , , , , , , , , , , ",Absence de surveillance justifiée,27270
D32,Pollution due au fonctionnement de l'installation,"Sol pollué, Nappe polluée",", , , , , , , , , , , , , , , , , , , , , , , , , ",,27562
,,"Dépôt de déchets, Dépôt aérien",", , , , , , , , , , , , , , , , , , , , , , , , , ",Surveillance différée en raison de procédure en cours,27493
,Dépôt sauvage de déchets,"Dépôt de déchets, Dépôt enterré",", , , , , , , , , , , , , , , , , , , , , , , , , ",,27169
L23,Origine accidentelle,Sol pollué,", , , , , , , , , , , , , , , , , , , , , , , , , ",Absence de surveillance justifiée,27467
J5,Pollution due au fonctionnement de l'installation,"Sol pollué, Nappe polluée",", , , , , , , , , , , , , , , , , , , , , , , , , ",,27467
D3,Liquidation ou cessation d'activité,"Dépôt de déchets, Dépôt aérien, Dépôt de produits divers, Sol pollué, Nappe polluée",", , , , , , , , , , , , , , , , , , , , , , , , , ",Surveillance différée en raison de procédure en cours,27036
H13,Pollution due au fonctionnement de l'installation,"Dépôt de déchets, Dépôt aérien, Sol pollué",", , , , , , , , , , , , , , , , , , , , , , , , , ",Surveillance différée en raison de procédure en cours,27112
H13,Pollution due au fonctionnement de l'installation,"Dépôt aérien, Dépôt de produits divers, Pollution non caractérisée",", , , , , , , , , , , , , , , , , , , , , , , , , ",Absence de surveillance justifiée,27067
J,Liquidation ou cessation d'activité,"Dépôt enterré, Sol pollué",", , , , , , , , , , , , , , , , , , , , , , , , , ",Absence de surveillance justifiée,27448
D42,Pollution due au fonctionnement de l'installation,"Dépôt de déchets, Sol pollué",", , , , , , , , , , , , , , , , , , , , , , , , , ",Absence de surveillance justifiée,27693
,Dépôt sauvage de déchets,"Dépôt enterré, Dépôt de produits divers, Pollution non caractérisée",", , , , , , , , , , , , , , , , , , , , , , , , , ",Absence de surveillance justifiée,27275
J1,Liquidation ou cessation d'activité,"Dépôt enterré, Sol pollué, Nappe polluée",", , , , , , , , , , , , , , , , , , , , , , , , , ",,27681
J,Liquidation ou cessation d'activité,Dépôt enterré,", , , , , , , , , , , , , , , , , , , , , , , , , ",,27275
J1,,"Dépôt enterré, Sol pollué, Nappe polluée",", , , , , , , , , , , , , , , , , , , , , , , , , ",,27284
H16,Dépôt sauvage de déchets,"Dépôt de déchets, Dépôt enterré",", , , , , , , , , , , , , , , , , , , , , , , , , ",Absence de surveillance justifiée,27375
G14,Pollution due au fonctionnement de l'installation,"Dépôt de déchets, Dépôt aérien, Dépôt enterré, Sol pollué",", , , , , , , , , , , , , , , , , , , , , , , , , ",,27622
,,Pollution non caractérisée,", , , , , , , , , , , , , , , , , , , , , , , , , ",Absence de surveillance justifiée,27056
,,Pollution non caractérisée,", , , , , , , , , , , , , , , , , , , , , , , , , ",Absence de surveillance justifiée,27116
,,Pollution non caractérisée,", , , , , , , , , , , , , , , , , , , , , , , , , ",Absence de surveillance justifiée,27467
,,"Dépôt de déchets, Dépôt aérien",", , , , , , , , , , , , , , , , , , , , , , , , , ",Absence de surveillance justifiée,27126
H11,Pollution due au fonctionnement de l'installation,Sol pollué,", , , , , , , , , , , , , , , , , , , , , , , , , ",Absence de surveillance justifiée,27229
H13,Pollution due au fonctionnement de l'installation,Sol pollué,", , , , , , , , , , , , , , , , , , , , , , , , , ",,27229
D37,Liquidation ou cessation d'activité,"Dépôt aérien, Dépôt de produits divers",", , , , , , , , , , , , , , , , , , , , , , , , , ",Absence de surveillance justifiée,27003
L,Origine accidentelle,"Dépôt de déchets, Dépôt aérien, Dépôt de produits divers, Sol pollué, Nappe polluée",", , , , , , , , , , , , , , , , , , , , , , , , , ",Absence de surveillance justifiée,27275
L22,Origine accidentelle,Sol pollué,", , , , , , , , , , , , , , , , , , , , , , , , , ",,27562
D1,Pollution due au fonctionnement de l'installation,"Dépôt de déchets, Sol pollué, Nappe polluée",", , , , , , , , , , , , , , , , , , , , , , , , , ",,27562
L23,Origine accidentelle,"Sol pollué, Nappe polluée",", , , , , , , , , , , , , , , , , , , , , , , , , ",,27554
D3,Pollution due au fonctionnement de l'installation,Sol pollué,", , , , , , , , , , , , , , , , , , , , , , , , , ",Absence de surveillance justifiée,27112
,,Pollution non caractérisée,", , , , , , , , , , , , , , , , , , , , , , , , , ",Absence de surveillance justifiée,27375
J1,Liquidation ou cessation d'activité,Sol pollué,", , , , , , , , , , , , , , , , , , , , , , , , , ",Absence de surveillance justifiée,27679
,,,", , , , , , , , , , , , , , , , , , , , , , , , , ",Absence de surveillance justifiée,27229
H,Pollution due au fonctionnement de l'installation,Sol pollué,", , , , , , , , , , , , , , , , , , , , , , , , , ",,27398
H13,Pollution due au fonctionnement de l'installation,Sol pollué,", , , , , , , , , , , , , , , , , , , , , , , , , ",,27117
J51,Pollution due au fonctionnement de l'installation,Sol pollué,", , , , , , , , , , , , , , , , , , , , , , , , , ",,27681
,Origine accidentelle,"Dépôt enterré, Sol pollué, Nappe polluée",", , , , , , , , , , , , , , , , , , , , , , , , , ",,27022
J5,,"Dépôt de déchets, Dépôt enterré",", , , , , , , , , , , , , , , , , , , , , , , , , ",,27458
H13,Pollution due au fonctionnement de l'installation,"Dépôt de déchets, Sol pollué, Nappe polluée",", , , , , , , , , , , , , , , , , , , , , , , , , ",Surveillance différée en raison de procédure en cours,27165
J35,Pollution due au fonctionnement de l'installation,Sol pollué,", , , , , , , , , , , , , , , , , , , , , , , , , ",,27391
D72,Liquidation ou cessation d'activité,,", , , , , , , , , , , , , , , , , , , , , , , , , ",,27438
D3,Pollution due au fonctionnement de l'installation,Sol pollué,", , , , , , , , , , , , , , , , , , , , , , , , , ",,27701
H13,Origine accidentelle,Sol pollué,", , , , , , , , , , , , , , , , , , , , , , , , , ",,27015
H13,Pollution due au fonctionnement de l'installation,"Sol pollué, Nappe polluée",", , , , , , , , , , , , , , , , , , , , , , , , , ",,27229
H1,Pollution due au fonctionnement de l'installation,Sol pollué,", , , , , , , , , , , , , , , , , , , , , , , , , ",,27562
D71,Pollution due au fonctionnement de l'installation,Sol pollué,", , , , , , , , , , , , , , , , , , , , , , , , , ",,27229
H12,Dépôt sauvage de déchets,Dépôt de déchets,", , , , , , , , , , , , , , , , , , , , , , , , , ",,27578
J53,Pollution due au fonctionnement de l'installation,Sol pollué,", , , , , , , , , , , , , , , , , , , , , , , , , ",,27108
D71,Pollution due au fonctionnement de l'installation,Sol pollué,", , , , , , , , , , , , , , , , , , , , , , , , , ",Surveillance différée en raison de procédure en cours,27375
J5,Pollution due au fonctionnement de l'installation,Sol pollué,", , , , , , , , , , , , , , , , , , , , , , , , , ",,27183
D4,Pollution due au fonctionnement de l'installation,"Sol pollué, Nappe polluée",", , , , , , , , , , , , , , , , , , , , , , , , , ",,27467
L,Pollution due au fonctionnement de l'installation,Nappe polluée,", , , , , , , , , , , , , , , , , , , , , , , , , ",,27507
H13,Pollution due au fonctionnement de l'installation,Sol pollué,", , , , , , , , , , , , , , , , , , , , , , , , , ",,27082
E23,,Pollution non caractérisée,", , , , , , , , , , , , , , , , , , , , , , , , , ",,27598
K21,,Dépôt de déchets,", , , , , , , , , , , , , , , , , , , , , , , , , ",,27681
C22,Pollution due au fonctionnement de l'installation,Sol pollué,", , , , , , , , , , , , , , , , , , , , , , , , , ",,27681
H11,Pollution due au fonctionnement de l'installation,"Sol pollué, Nappe polluée",", , , , , , , , , , , , , , , , , , , , , , , , , ",,27230
J32,Origine accidentelle,"Sol pollué, Nappe polluée",", , , , , , , , , , , , , , , , , , , , , , , , , ",,27502
E2,Pollution due au fonctionnement de l'installation,"Dépôt enterré, Dépôt de produits divers, Sol pollué, Nappe polluée",", , , , , , , , , , , , , , , , , , , , , , , , , ",Surveillance différée en raison de procédure en cours,27467
E2,Pollution due au fonctionnement de l'installation,"Dépôt enterré, Sol pollué, Nappe polluée",", , , , , , , , , , , , , , , , , , , , , , , , , ",,27467
C22,Pollution due au fonctionnement de l'installation,"Sol pollué, Nappe polluée",", , , , , , , , , , , , , , , , , , , , , , , , , ",,27467
,Pollution due au fonctionnement de l'installation,"Dépôt de déchets, Dépôt enterré, Sol pollué, Nappe polluée",", , , , , , , , , , , , , , , , , , , , , , , , , ",,27599
,Pollution due au fonctionnement de l'installation,"Sol pollué, Nappe polluée",", , , , , , , , , , , , , , , , , , , , , , , , , ",Absence de surveillance justifiée,27493
,,Pollution non caractérisée,", , , , , , , , , , , , , , , , , , , , , , , , , ",,27375
G12,Pollution due au fonctionnement de l'installation,Sol pollué,", , , , , , , , , , , , , , , , , , , , , , , , , ",,27229
H,Pollution due au fonctionnement de l'installation,"Sol pollué, Nappe polluée",", , , , , , , , , , , , , , , , , , , , , , , , , ",,27701
D44,Pollution due au fonctionnement de l'installation,"Sol pollué, Nappe polluée",", , , , , , , , , , , , , , , , , , , , , , , , , ",,27299
C22,,"Sol pollué, Nappe polluée",", , , , , , , , , , , , , , , , , , , , , , , , , ",,27467
,Pollution due au fonctionnement de l'installation,Dépôt de déchets,", , , , , , , , , , , , , , , , , , , , , , , , , ",,27562
K21,Pollution due au fonctionnement de l'installation,Dépôt de déchets,", , , , , , , , , , , , , , , , , , , , , , , , , ",,27099
L1,Origine accidentelle,Sol pollué,", , , , , , , , , , , , , , , , , , , , , , , , , ",Absence de surveillance justifiée,27011
K5,Pollution due au fonctionnement de l'installation,Pollution non caractérisée,", , , , , , , , , , , , , , , , , , , , , , , , , ",,27665
H13,Pollution due au fonctionnement de l'installation,"Sol pollué, Nappe polluée",", , , , , , , , , , , , , , , , , , , , , , , , , ",,27193
L2,Origine accidentelle,"Sol pollué, Nappe polluée",", , , , , , , , , , , , , , , , , , , , , , , , , ",,27375
D44,Pollution due au fonctionnement de l'installation,Sol pollué,", , , , , , , , , , , , , , , , , , , , , , , , , ",,27375
D6,Liquidation ou cessation d'activité,"Dépôt de déchets, Dépôt de produits divers",", , , , , , , , , , , , , , , , , , , , , , , , , ",,27008
E3,Pollution due au fonctionnement de l'installation,"Sol pollué, Nappe polluée",", , , , , , , , , , , , , , , , , , , , , , , , , ",,27299
,,Sol pollué,", , , , , , , , , , , , , , , , , , , , , , , , , ",,27554
K5,Pollution due au fonctionnement de l'installation,"Dépôt de déchets, Sol pollué",", , , , , , , , , , , , , , , , , , , , , , , , , ",,27378
K,Dépôt sauvage de déchets,Dépôt de déchets,", , , , , , , , , , , , , , , , , , , , , , , , , ",,27554
K5,Pollution due au fonctionnement de l'installation,"Dépôt de déchets, Sol pollué",", , , , , , , , , , , , , , , , , , , , , , , , , ",,27697
K5,Pollution due au fonctionnement de l'installation,"Dépôt de déchets, Sol pollué",", , , , , , , , , , , , , , , , , , , , , , , , , ",,27502
H,Pollution due au fonctionnement de l'installation,"Sol pollué, Nappe polluée",", , , , , , , , , , , , , , , , , , , , , , , , , ",,27196
,,,", , , , , , , , , , , , , , , , , , , , , , , , , ",,27016
G2,Liquidation ou cessation d'activité,"Dépôt enterré, Sol pollué",", , , , , , , , , , , , , , , , , , , , , , , , , ",,27599
,Dépôt sauvage de déchets,"Dépôt de déchets, Dépôt enterré, Sol pollué",", , , , , , , , , , , , , , , , , , , , , , , , , ",,27375
,Pollution due au fonctionnement de l'installation,Sol pollué,", , , , , , , , , , , , , , , , , , , , , , , , , ",Surveillance différée en raison de procédure en cours,27375
I1,Origine accidentelle,Sol pollué,", , , , , , , , , , , , , , , , , , , , , , , , , ",,27107
K5,Liquidation ou cessation d'activité,"Dépôt de déchets, Dépôt de produits divers",", , , , , , , , , , , , , , , , , , , , , , , , , ",,27554
L21,Origine accidentelle,Sol pollué,", , , , , , , , , , , , , , , , , , , , , , , , , ",Absence de surveillance justifiée,27523
K5,Pollution due au fonctionnement de l'installation,Dépôt de déchets,", , , , , , , , , , , , , , , , , , , , , , , , , ",,27306
L23,Pollution due au fonctionnement de l'installation,Sol pollué,", , , , , , , , , , , , , , , , , , , , , , , , , ",,27684
