nom site,indicator,Organisme,code zas,Zas,code site,type d'implantation,Polluant,type d'influence,Réglementaire,type d'évaluation,type de valeur,valeur,valeur brute,unité de mesure,taux de saisie,couverture temporelle,couverture de données,code qualité,validité,Latitude,Longitude
CLOS DES BEAUVAIS,0.1561643835616438,AIR PAYS DE LA LOIRE,FR52ZAR01,ZAR ANGERS-LOIRE,FR23175,Périurbaine,O3,Fond,Oui,mesures fixes,Max. journalier moy. hor.,68.8,68.775,µg-m3,100.0,100,100.0,A,1,47.430164,-0.610064
CUTULLIC2,0.0,AIR PAYS DE LA LOIRE,FR52ZRE01,ZR PAYS-DE-LA-LOIRE,FR23149,Périurbaine,SO2,Industrielle,Oui,mesures fixes,Max. journalier moy. hor.,1.6,1.63333,µg-m3,100.0,100,100.0,R,1,47.286114,-2.032289
DELACROIX,0.1890410958904109,AIR PAYS DE LA LOIRE,FR52ZRE01,ZR PAYS-DE-LA-LOIRE,FR23152,Urbaine,O3,Fond,Oui,mesures fixes,Max. journalier moy. hor.,74.2,74.175,µg-m3,100.0,100,100.0,A,1,46.6607,-1.436831
EPINETTES,0.1512605042016806,AIR PAYS DE LA LOIRE,FR52ZAG01,ZAG NANTES-SAINT-NAZAIRE,FR23157,Périurbaine,O3,Fond,Oui,mesures fixes,Max. journalier moy. hor.,77.6,77.575,µg-m3,100.0,100,100.0,A,1,47.146088,-1.690269
FRERES GONCOURT,0.1331444759206798,AIR PAYS DE LA LOIRE,FR52ZAG01,ZAG NANTES-SAINT-NAZAIRE,FR23251,Urbaine,NO2,Trafic,Oui,mesures fixes,Max. journalier moy. hor.,43.7,43.675,µg-m3,100.0,100,100.0,A,1,47.204122,-1.564811
FROSSAY,0.0082191780821917,AIR PAYS DE LA LOIRE,FR52ZRE01,ZR PAYS-DE-LA-LOIRE,FR23068,Rurale près des villes,PM10,Industrielle,Oui,mesures fixes,Moy. journalière,15.0,15.1208333333,µg-m3,100.0,100,100.0,A,1,47.24747,-1.936619
Fillé,0.1569767441860465,AIR PAYS DE LA LOIRE,FR52ZRE01,ZR PAYS-DE-LA-LOIRE,FR23163,Périurbaine,O3,Fond,Oui,mesures fixes,Max. journalier moy. hor.,69.4,69.425,µg-m3,100.0,100,100.0,A,1,47.92192,0.151825
GASPARD,0.1377410468319559,AIR PAYS DE LA LOIRE,FR52ZAG01,ZAG NANTES-SAINT-NAZAIRE,FR23230,Périurbaine,O3,Fond,Oui,mesures fixes,Max. journalier moy. hor.,80.0,80.0,µg-m3,100.0,100,100.0,A,1,47.253056,-2.332067
GUEDOU,0.0,AIR PAYS DE LA LOIRE,FR52ZAR02,ZAR LE-MANS,FR23174,Urbaine,NO2,Fond,Oui,mesures fixes,Max. journalier moy. hor.,8.5,8.525,µg-m3,100.0,100,100.0,A,1,47.98892,0.195983
JULES VERNE,0.0,AIR PAYS DE LA LOIRE,FR52ZAG01,ZAG NANTES-SAINT-NAZAIRE,FR23075,Périurbaine,NO2,Industrielle,Oui,mesures fixes,Max. journalier moy. hor.,22.1,22.125,µg-m3,100.0,100,100.0,A,1,47.315727,-2.190764
LA CHAUVINIERE,0.0657534246575342,AIR PAYS DE LA LOIRE,FR52ZAG01,ZAG NANTES-SAINT-NAZAIRE,FR23107,Urbaine,PM10,Fond,Oui,mesures fixes,Moy. journalière,15.0,14.7958333333,µg-m3,100.0,100,100.0,A,1,47.252777,-1.573333
LA MEGRETAIS,0.0519480519480519,AIR PAYS DE LA LOIRE,FR52ZAG01,ZAG NANTES-SAINT-NAZAIRE,FR23003,Périurbaine,PM10,Industrielle,Oui,mesures fixes,Moy. journalière,17.0,16.625,µg-m3,100.0,100,100.0,A,1,47.322706,-2.039244
LA TARDIERE,0.1452054794520547,AIR PAYS DE LA LOIRE,FR52ZRE01,ZR PAYS-DE-LA-LOIRE,FR23124,Rurale nationale,O3,Fond,Oui,mesures fixes,Max. journalier moy. hor.,60.3,60.325,µg-m3,100.0,100,100.0,A,1,46.656685,-0.743681
LEON BLUM,0.1698630136986301,AIR PAYS DE LA LOIRE,FR52ZAG01,ZAG NANTES-SAINT-NAZAIRE,FR23110,Urbaine,O3,Fond,Oui,mesures fixes,Max. journalier moy. hor.,80.1,80.075,µg-m3,100.0,100,100.0,A,1,47.26412,-2.249858
LES COUETS,0.0602739726027397,AIR PAYS DE LA LOIRE,FR52ZAG01,ZAG NANTES-SAINT-NAZAIRE,FR23239,Urbaine,PM10,Industrielle,Oui,mesures fixes,Moy. journalière,14.0,14.1833333333,µg-m3,100.0,100,100.0,R,1,47.1859194,-1.59149722222222
LEVOYER,0.0200803212851405,AIR PAYS DE LA LOIRE,FR52ZAG01,ZAG NANTES-SAINT-NAZAIRE,FR23238,Urbaine,PM10,Industrielle,Oui,mesures fixes,Moy. journalière,8.0,8.4708333333,µg-m3,100.0,100,100.0,A,1,47.1941472,-1.581677778
MAZAGRAN,0.1342465753424657,AIR PAYS DE LA LOIRE,FR52ZAR03,ZAR LAVAL,FR23123,Urbaine,O3,Fond,Oui,mesures fixes,Max. journalier moy. hor.,73.9,73.9,µg-m3,100.0,100,100.0,A,1,48.06943,-0.767692
PARC PAYSAGER,0.0,AIR PAYS DE LA LOIRE,FR52ZAG01,ZAG NANTES-SAINT-NAZAIRE,FR23181,Urbaine,NO2,Fond,Oui,mesures fixes,Max. journalier moy. hor.,15.2,15.15,µg-m3,100.0,100,100.0,A,1,47.273056,-2.223056
PARSCAU DU PLESSIS,0.0630136986301369,AIR PAYS DE LA LOIRE,FR52ZAG01,ZAG NANTES-SAINT-NAZAIRE,FR23178,Périurbaine,PM10,Industrielle,Oui,mesures fixes,Moy. journalière,16.0,15.6,µg-m3,100.0,100,100.0,A,1,47.319157,-2.066953
PASTEUR,0.0082872928176795,AIR PAYS DE LA LOIRE,FR52ZAG01,ZAG NANTES-SAINT-NAZAIRE,FR23004,Périurbaine,SO2,Industrielle,Oui,mesures fixes,Max. journalier moy. hor.,11.1,11.075,µg-m3,100.0,100,100.0,R,1,47.317284,-2.073306
ROI RENE,0.0879120879120879,AIR PAYS DE LA LOIRE,FR52ZAR01,ZAR ANGERS-LOIRE,FR23242,Urbaine,PM10,Trafic,Oui,mesures fixes,Moy. journalière,16.0,16.1458333333,µg-m3,100.0,100,100.0,A,1,47.466992,-0.554686
S ETIENNE DE MONTLUC,0.0356164383561643,AIR PAYS DE LA LOIRE,FR52ZAG01,ZAG NANTES-SAINT-NAZAIRE,FR23070,Périurbaine,PM10,Industrielle,Oui,mesures fixes,Moy. journalière,14.0,13.7833333333,µg-m3,100.0,100,100.0,A,1,47.28318,-1.783164
SAINT EXUPERY,0.1616438356164383,AIR PAYS DE LA LOIRE,FR52ZRE01,ZR PAYS-DE-LA-LOIRE,FR23078,Urbaine,O3,Fond,Oui,mesures fixes,Max. journalier moy. hor.,73.4,73.425,µg-m3,100.0,100,100.0,A,1,47.054443,-0.886111
SAINT-DENIS D'ANJOU,0.1616438356164383,AIR PAYS DE LA LOIRE,FR52ZRE01,ZR PAYS-DE-LA-LOIRE,FR23177,Rurale régionale,O3,Fond,Oui,mesures fixes,Max. journalier moy. hor.,71.9,71.875,µg-m3,100.0,100,100.0,A,1,47.78773,-0.444044
SAVENAY,0.0,AIR PAYS DE LA LOIRE,FR52ZAG01,ZAG NANTES-SAINT-NAZAIRE,FR23069,Périurbaine,SO2,Industrielle,Oui,mesures fixes,Max. journalier moy. hor.,0.9,0.9,µg-m3,100.0,100,100.0,R,1,47.36075,-1.95475
SOURCES,0.2082191780821917,AIR PAYS DE LA LOIRE,FR52ZAR02,ZAR LE-MANS,FR23182,Urbaine,O3,Fond,Oui,mesures fixes,Max. journalier moy. hor.,71.2,71.2,µg-m3,100.0,100,100.0,A,1,47.971066,0.221422
AUBERVILLIERS,1.0,AIRPARIF,FR11ZAG01,ZAG PARIS,FR04018,Urbaine,NO2,Fond,Oui,mesures fixes,Max. journalier moy. hor.,120.8,120.825,µg-m3,100.0,100,100.0,A,1,48.9039,2.3847
Auto A1 -Saint-Denis,0.3113207547169811,AIRPARIF,FR11ZAG01,ZAG PARIS,FR04058,Urbaine,PM10,Trafic,Oui,mesures fixes,Moy. journalière,26.0,25.8916666667,µg-m3,100.0,100,100.0,A,1,48.925278,2.356667
Av Champs Elysees,0.0,AIRPARIF,FR11ZAG01,ZAG PARIS,FR04031,Urbaine,NO2,Trafic,Oui,mesures fixes,Max. journalier moy. hor.,42.0,41.975,µg-m3,100.0,100,100.0,A,1,48.868772,2.311231
