nom site,SOMO35 Subscore_x,Organisme,code zas,Zas,code site,type d'implantation,Polluant,type d'influence,Réglementaire,type d'évaluation,type de valeur,valeur,valeur brute,unité de mesure,taux de saisie,couverture temporelle,couverture de données,code qualité,validité,Latitude,Longitude
CERGY-PONTOISE,5683.6,AIRPARIF,FR11ZAG01,ZAG PARIS,FR04023,Urbaine,O3,Fond,Oui,mesures fixes,Max. journalier moy. hor.,62.5,62.5,µg-m3,100.0,100,100.0,A,1,49.04639,2.043056
CHAMPIGNY-SUR-MARNE,5100.9,AIRPARIF,FR11ZAG01,ZAG PARIS,FR04101,Urbaine,O3,Fond,Oui,mesures fixes,Max. journalier moy. hor.,54.2,54.2,µg-m3,100.0,100,100.0,A,1,48.816387,2.5175
LES ULIS,5859.2,AIRPARIF,FR11ZAG01,ZAG PARIS,FR04049,Périurbaine,O3,Fond,Oui,mesures fixes,Max. journalier moy. hor.,59.7,59.65,µg-m3,100.0,100,100.0,R,1,48.679443,2.165556
LOGNES,5360.6,AIRPARIF,FR11ZAG01,ZAG PARIS,FR04098,Urbaine,O3,Fond,Oui,mesures fixes,Max. journalier moy. hor.,56.4,56.4,µg-m3,100.0,100,100.0,R,1,48.84028,2.635278
MANTES-LA-JOLIE,4527.9,AIRPARIF,FR11ZAG01,ZAG PARIS,FR04063,Périurbaine,O3,Fond,Oui,mesures fixes,Max. journalier moy. hor.,56.9,56.85,µg-m3,100.0,100,100.0,R,1,48.9964,1.7033
MELUN,3777.3,AIRPARIF,FR11ZAG01,ZAG PARIS,FR04069,Périurbaine,O3,Fond,Oui,mesures fixes,Max. journalier moy. hor.,54.6,54.6,µg-m3,100.0,100,100.0,A,1,48.54139,2.661389
MONTGERON,4906.3,AIRPARIF,FR11ZAG01,ZAG PARIS,FR04149,Urbaine,O3,Fond,Oui,mesures fixes,Max. journalier moy. hor.,54.3,54.25,µg-m3,100.0,100,100.0,A,1,48.7067,2.4572
NEUILLY-SUR-SEINE,4459.2,AIRPARIF,FR11ZAG01,ZAG PARIS,FR04017,Urbaine,O3,Fond,Oui,mesures fixes,Max. journalier moy. hor.,56.2,56.15,µg-m3,100.0,100,100.0,R,1,48.88139,2.278056
PARIS 13eme,4813.5,AIRPARIF,FR11ZAG01,ZAG PARIS,FR04037,Urbaine,O3,Fond,Oui,mesures fixes,Max. journalier moy. hor.,52.9,52.85,µg-m3,100.0,100,100.0,A,1,48.82861,2.360278
PARIS 18eme,4441.2,AIRPARIF,FR11ZAG01,ZAG PARIS,FR04004,Urbaine,O3,Fond,Oui,mesures fixes,Max. journalier moy. hor.,57.0,56.95,µg-m3,100.0,100,100.0,A,1,48.891666,2.346667
PARIS 1er Les Halles,4222.4,AIRPARIF,FR11ZAG01,ZAG PARIS,FR04055,Urbaine,O3,Fond,Oui,mesures fixes,Max. journalier moy. hor.,51.1,51.1,µg-m3,100.0,100,100.0,R,1,48.86212,2.344616
RAMBOUILLET,5720.2,AIRPARIF,FR11ZRE01,ZR ILE-DE-FRANCE,FR04181,Périurbaine,O3,Fond,Oui,mesures fixes,Max. journalier moy. hor.,58.6,58.6,µg-m3,100.0,100,100.0,A,1,48.63373,1.830529
TREMBLAY-EN-FRANCE,5071.3,AIRPARIF,FR11ZAG01,ZAG PARIS,FR04319,Périurbaine,O3,Fond,Oui,mesures fixes,Max. journalier moy. hor.,56.6,56.55,µg-m3,100.0,100,100.0,A,1,48.95555,2.575278
VERSAILLES,3809.6,AIRPARIF,FR11ZAG01,ZAG PARIS,FR04029,Périurbaine,O3,Fond,Oui,mesures fixes,Max. journalier moy. hor.,60.0,60.0,µg-m3,100.0,100,100.0,R,1,48.799168,2.130556
