nom site,SOMO35 Subscore_x,Organisme,code zas,Zas,code site,type d'implantation,Polluant,type d'influence,Réglementaire,type d'évaluation,type de valeur,valeur,valeur brute,unité de mesure,taux de saisie,couverture temporelle,couverture de données,code qualité,validité,Latitude,Longitude
Vichy,5788.4,ATMO AUVERGNE-RHÔNE-ALPES,FR84ZRE02,ZR AUVERGNE-RHONE-ALPES,FR07059,Urbaine,O3,Fond,Oui,mesures indicatives,Max. journalier moy. hor.,73.7,73.7,µg-m3,100.0,100,100.0,A,1,46.130431,3.425694
Villefranche Centre ,3965.2,ATMO AUVERGNE-RHÔNE-ALPES,FR84ZAG01,ZAG LYON,FR20077,Urbaine,O3,Fond,Oui,mesures indicatives,Max. journalier moy. hor.,59.6,59.55,µg-m3,100.0,100,100.0,A,1,45.990112,4.715566
Voiron Urbain,6010.6,ATMO AUVERGNE-RHÔNE-ALPES,FR84ZAG02,ZAG GRENOBLE,FR15018,Urbaine,O3,Fond,Oui,mesures indicatives,Max. journalier moy. hor.,45.2,45.175,µg-m3,100.0,100,100.0,A,1,45.360176,5.589419
Auxerre,6908.0,ATMO BOURGOGNE-FRANCHE-COMTE,FR27ZRE01,ZR BOURGOGNE-FRANCHE-COMTE,FR26019,Urbaine,O3,Fond,Oui,mesures fixes,Max. journalier moy. hor.,78.4,78.4,µg-m3,100.0,100,100.0,A,1,47.800575,3.576189
Besancon Prevoyance,7390.6,ATMO BOURGOGNE-FRANCHE-COMTE,FR27ZAR03,ZAR BESANCON,FR82006,Urbaine,O3,Fond,Oui,mesures fixes,Max. journalier moy. hor.,72.8,72.825,µg-m3,100.0,100,100.0,A,1,47.2474,6.015419
Champforgueil,6089.0,ATMO BOURGOGNE-FRANCHE-COMTE,FR27ZAR04,ZAR CHALON,FR32002,Périurbaine,O3,Fond,Oui,mesures fixes,Max. journalier moy. hor.,64.4,64.375,µg-m3,100.0,100,100.0,A,1,46.821056,4.835083
Daix,7248.4,ATMO BOURGOGNE-FRANCHE-COMTE,FR27ZAR02,ZAR DIJON,FR26010,Périurbaine,O3,Fond,Oui,mesures fixes,Max. journalier moy. hor.,71.3,71.3,µg-m3,100.0,100,100.0,A,1,47.3456,5.002377
Dambenois Citoyen,7170.2,ATMO BOURGOGNE-FRANCHE-COMTE,FR27ZAR01,ZAR BELFORT-MONTBELIARD,FR82012,Périurbaine,O3,Fond,Oui,mesures fixes,Max. journalier moy. hor.,64.3,64.25,µg-m3,100.0,100,100.0,A,1,47.538193,6.868361
Dijon Péjoces,6388.9,ATMO BOURGOGNE-FRANCHE-COMTE,FR27ZAR02,ZAR DIJON,FR26005,Périurbaine,O3,Fond,Oui,mesures fixes,Max. journalier moy. hor.,71.6,71.55,µg-m3,100.0,100,100.0,A,1,47.307368,5.065881
Dole centre,6388.1,ATMO BOURGOGNE-FRANCHE-COMTE,FR27ZRE01,ZR BOURGOGNE-FRANCHE-COMTE,FR82040,Urbaine,O3,Fond,Oui,mesures fixes,Max. journalier moy. hor.,70.3,70.325,µg-m3,100.0,100,100.0,A,1,47.09672,5.496389
Lons-le-Saunier CV,7688.3,ATMO BOURGOGNE-FRANCHE-COMTE,FR27ZRE01,ZR BOURGOGNE-FRANCHE-COMTE,FR82050,Urbaine,O3,Fond,Oui,mesures fixes,Max. journalier moy. hor.,76.0,76.0,µg-m3,100.0,100,100.0,A,1,46.671321,5.55662
Macon Paul Bert,6970.3,ATMO BOURGOGNE-FRANCHE-COMTE,FR27ZRE01,ZR BOURGOGNE-FRANCHE-COMTE,FR32006,Périurbaine,O3,Fond,Oui,mesures fixes,Max. journalier moy. hor.,74.8,74.75,µg-m3,100.0,100,100.0,A,1,46.316172,4.839994
Montandon Baresans,5398.7,ATMO BOURGOGNE-FRANCHE-COMTE,FR27ZRE01,ZR BOURGOGNE-FRANCHE-COMTE,FR82030,Rurale nationale,O3,Fond,Oui,mesures fixes,Max. journalier moy. hor.,78.8,78.775,µg-m3,100.0,100,100.0,A,1,47.29464,6.825861
Montbéliard centre,5845.9,ATMO BOURGOGNE-FRANCHE-COMTE,FR27ZAR01,ZAR BELFORT-MONTBELIARD,FR82010,Urbaine,O3,Fond,Oui,mesures fixes,Max. journalier moy. hor.,53.8,53.825,µg-m3,100.0,100,100.0,R,1,47.510307,6.794
Montceau-les-Mines 9me écluse,6037.7,ATMO BOURGOGNE-FRANCHE-COMTE,FR27ZRE01,ZR BOURGOGNE-FRANCHE-COMTE,FR32005,Urbaine,O3,Fond,Oui,mesures fixes,Max. journalier moy. hor.,66.3,66.3,µg-m3,100.0,100,100.0,A,1,46.678785,4.366893
Montfaucon,8408.7,ATMO BOURGOGNE-FRANCHE-COMTE,FR27ZAR03,ZAR BESANCON,FR82005,Périurbaine,O3,Fond,Oui,mesures fixes,Max. journalier moy. hor.,77.7,77.65,µg-m3,100.0,100,100.0,A,1,47.23461,6.076472
Morvan,7131.7,ATMO BOURGOGNE-FRANCHE-COMTE,FR27ZRE01,ZR BOURGOGNE-FRANCHE-COMTE,FR26012,Rurale nationale,O3,Fond,Oui,mesures fixes,Max. journalier moy. hor.,75.3,75.325,µg-m3,100.0,100,100.0,A,1,47.274762,4.099476
Nevers,5586.9,ATMO BOURGOGNE-FRANCHE-COMTE,FR27ZRE01,ZR BOURGOGNE-FRANCHE-COMTE,FR26017,Urbaine,O3,Fond,Oui,mesures fixes,Max. journalier moy. hor.,68.0,67.95,µg-m3,100.0,100,100.0,A,1,46.996828,3.171092
Sens,358.1,ATMO BOURGOGNE-FRANCHE-COMTE,FR27ZRE01,ZR BOURGOGNE-FRANCHE-COMTE,FR26016,Urbaine,O3,Fond,Oui,mesures fixes,Max. journalier moy. hor.,57.2,57.2,µg-m3,54.0,100,54.0,N,-1,48.200436,3.2773
Vesoul Pres Caillet,6736.6,ATMO BOURGOGNE-FRANCHE-COMTE,FR27ZRE01,ZR BOURGOGNE-FRANCHE-COMTE,FR82060,Urbaine,O3,Fond,Oui,mesures fixes,Max. journalier moy. hor.,71.4,71.375,µg-m3,100.0,100,100.0,A,1,47.620022,6.157642
BETHENY,5714.9,ATMO GRAND EST,FR44ZAR01,ZAR REIMS,FR14010,Périurbaine,O3,Fond,Oui,mesures fixes,Max. journalier moy. hor.,59.5,59.475,µg-m3,100.0,100,100.0,R,1,49.28222,4.051111
CHALONS,5261.7,ATMO GRAND EST,FR44ZRE01,ZR GRAND-EST,FR14022,Urbaine,O3,Fond,Oui,mesures fixes,Max. journalier moy. hor.,59.6,59.6,µg-m3,100.0,100,100.0,R,1,48.962223,4.36
CHARLEVILLE,5039.7,ATMO GRAND EST,FR44ZRE01,ZR GRAND-EST,FR14051,Urbaine,O3,Fond,Oui,mesures fixes,Max. journalier moy. hor.,56.5,56.45,µg-m3,100.0,100,100.0,R,1,49.745277,4.719167
Capitainerie,5548.3,ATMO GRAND EST,FR44ZRE01,ZR GRAND-EST,FR14029,Périurbaine,O3,Fond,Oui,mesures fixes,Max. journalier moy. hor.,62.2,62.225,µg-m3,100.0,100,100.0,A,1,48.7266,4.594781
Colmar Sud,7667.9,ATMO GRAND EST,FR44ZRE01,ZR GRAND-EST,FR16064,Périurbaine,O3,Fond,Oui,mesures fixes,Max. journalier moy. hor.,55.7,55.675,µg-m3,96.0,100,96.0,A,1,48.065414,7.333139
Donon Vosges Moyennes 2,5855.0,ATMO GRAND EST,FR44ZRE01,ZR GRAND-EST,FR16302,Rurale nationale,O3,Fond,Oui,mesures fixes,Max. journalier moy. hor.,73.7,73.7,µg-m3,100.0,100,100.0,A,1,48.492992,7.1298
Epinal,4326.4,ATMO GRAND EST,FR44ZRE01,ZR GRAND-EST,FR30019,Urbaine,O3,Fond,Oui,mesures fixes,Max. journalier moy. hor.,60.5,60.5,µg-m3,100.0,100,100.0,A,1,48.17278,6.452811
Haguenau-Place marché aux bestiaux,7011.8,ATMO GRAND EST,FR44ZRE01,ZR GRAND-EST,FR42011,Urbaine,O3,Fond,Oui,mesures fixes,Max. journalier moy. hor.,62.2,62.225,µg-m3,100.0,100,100.0,A,1,48.818352,7.786409
Jean d Aulan,4632.4,ATMO GRAND EST,FR44ZAR01,ZAR REIMS,FR14012,Urbaine,O3,Fond,Oui,mesures fixes,Max. journalier moy. hor.,57.6,57.6,µg-m3,100.0,100,100.0,R,1,49.224167,4.020556
Jonville en Woevre,6778.4,ATMO GRAND EST,FR44ZRE01,ZR GRAND-EST,FR30033,Rurale régionale,O3,Fond,Oui,mesures fixes,Max. journalier moy. hor.,61.9,61.875,µg-m3,96.0,100,96.0,A,1,49.06583,5.785556
Metz-Centre,4833.9,ATMO GRAND EST,FR44ZAG02,ZAG METZ,FR01011,Urbaine,O3,Fond,Oui,mesures fixes,Max. journalier moy. hor.,58.9,58.9,µg-m3,100.0,100,100.0,A,1,49.119442,6.180833
Mulhouse Est,6636.8,ATMO GRAND EST,FR44ZRE01,ZR GRAND-EST,FR16065,Périurbaine,O3,Fond,Oui,mesures fixes,Max. journalier moy. hor.,64.9,64.85,µg-m3,100.0,100,100.0,A,1,47.723106,7.341603
Mulhouse Sud 2,6314.7,ATMO GRAND EST,FR44ZRE01,ZR GRAND-EST,FR16066,Urbaine,O3,Fond,Oui,mesures fixes,Max. journalier moy. hor.,57.4,57.425,µg-m3,100.0,100,100.0,A,1,47.737415,7.309075
Nancy-Brabois 2,6336.1,ATMO GRAND EST,FR44ZAG03,ZAG NANCY,FR30037,Périurbaine,O3,Fond,Oui,mesures fixes,Max. journalier moy. hor.,65.7,65.7,µg-m3,100.0,100,100.0,A,1,48.656944,6.136022
Nancy-Charles III,5135.1,ATMO GRAND EST,FR44ZAG03,ZAG NANCY,FR30034,Urbaine,O3,Fond,Oui,mesures fixes,Max. journalier moy. hor.,62.3,62.3,µg-m3,100.0,100,100.0,R,1,48.68817,6.190431
Nord-Est Alsace,6107.7,ATMO GRAND EST,FR44ZRE01,ZR GRAND-EST,FR16017,Rurale régionale,O3,Fond,Oui,mesures fixes,Max. journalier moy. hor.,60.0,59.975,µg-m3,100.0,100,100.0,A,1,48.919357,8.158458
REVIN,4567.2,ATMO GRAND EST,FR44ZRE01,ZR GRAND-EST,FR14008,Rurale nationale,O3,Fond,Oui,mesures fixes,Max. journalier moy. hor.,55.5,55.525,µg-m3,100.0,100,100.0,A,1,49.90778,4.63
ST PARRES AUX TERTRE,4681.6,ATMO GRAND EST,FR44ZRE01,ZR GRAND-EST,FR14032,Périurbaine,O3,Fond,Oui,mesures fixes,Max. journalier moy. hor.,54.9,54.925,µg-m3,100.0,100,100.0,R,1,48.299168,4.117222
STE SAVINE,5.4,ATMO GRAND EST,FR44ZRE01,ZR GRAND-EST,FR14033,Urbaine,O3,Fond,Oui,mesures fixes,Max. journalier moy. hor.,47.7,47.675,µg-m3,100.0,100,100.0,A,1,48.295002,4.050278
Schlucht,5907.8,ATMO GRAND EST,FR44ZRE01,ZR GRAND-EST,FR30028,Rurale près des villes,O3,Fond,Oui,mesures fixes,Max. journalier moy. hor.,77.5,77.45,µg-m3,100.0,100,100.0,A,1,48.051117,7.011114
Scy-Chazelles,6198.9,ATMO GRAND EST,FR44ZAG02,ZAG METZ,FR01018,Périurbaine,O3,Fond,Oui,mesures fixes,Max. journalier moy. hor.,73.1,73.125,µg-m3,100.0,100,100.0,A,1,49.107502,6.122775
St DIZIER L. Michel,5072.7,ATMO GRAND EST,FR44ZRE01,ZR GRAND-EST,FR14042,Urbaine,O3,Fond,Oui,mesures fixes,Max. journalier moy. hor.,65.4,65.4,µg-m3,100.0,100,100.0,A,1,48.645836,4.966111
Station de FORBACH,6771.7,ATMO GRAND EST,FR44ZRE01,ZR GRAND-EST,FR22054,Urbaine,O3,Fond,Oui,mesures fixes,Max. journalier moy. hor.,67.6,67.6,µg-m3,96.0,100,96.0,A,1,49.18742,6.910867
Strasbourg Nord,6426.2,ATMO GRAND EST,FR44ZAG01,ZAG STRASBOURG,FR16029,Urbaine,O3,Fond,Oui,mesures fixes,Max. journalier moy. hor.,50.9,50.85,µg-m3,100.0,100,100.0,A,1,48.610363,7.781631
Strasbourg Sud 2,6577.9,ATMO GRAND EST,FR44ZAG01,ZAG STRASBOURG,FR16041,Périurbaine,O3,Fond,Oui,mesures fixes,Max. journalier moy. hor.,49.1,49.1,µg-m3,100.0,100,100.0,A,1,48.5157,7.687819
Thionville-Centre,0.0,ATMO GRAND EST,FR44ZAG02,ZAG METZ,FR01020,Urbaine,O3,Fond,Oui,mesures fixes,Max. journalier moy. hor.,56.2,56.175,µg-m3,100.0,100,100.0,R,1,49.358337,6.156942
Thionville-Garche,7126.4,ATMO GRAND EST,FR44ZAG02,ZAG METZ,FR01021,Périurbaine,O3,Fond,Oui,mesures fixes,Max. journalier moy. hor.,68.4,68.375,µg-m3,54.0,100,54.0,N,-1,49.394444,6.201392
Vosges du Nord,7110.3,ATMO GRAND EST,FR44ZRE01,ZR GRAND-EST,FR16031,Rurale régionale,O3,Fond,Oui,mesures fixes,Max. journalier moy. hor.,67.8,67.8,µg-m3,100.0,100,100.0,A,1,48.85731,7.314175
Arrest,4684.4,ATMO HAUTS DE FRANCE,FR32ZRE01,ZR HAUTS-DE-FRANCE,FR18039,Rurale régionale,O3,Fond,Oui,mesures fixes,Max. journalier moy. hor.,73.4,73.43333,µg-m3,100.0,100,100.0,R,1,50.129448,1.610833
Bethune Stade,3753.4,ATMO HAUTS DE FRANCE,FR32ZAG01,ZAG BLDV,FR28028,Urbaine,O3,Fond,Oui,mesures fixes,Max. journalier moy. hor.,19.2,19.225,µg-m3,38.0,100,38.0,N,-1,50.535385,2.635692
Calais Parmentier,3966.3,ATMO HAUTS DE FRANCE,FR32ZAR01,ZAR COTE-D-OPALE,FR10026,Urbaine,O3,Fond,Oui,mesures fixes,Max. journalier moy. hor.,79.4,79.43333,µg-m3,100.0,100,100.0,R,1,50.9578,1.89008
Campagne les B.,3676.4,ATMO HAUTS DE FRANCE,FR32ZRE01,ZR HAUTS-DE-FRANCE,FR10132,Rurale régionale,O3,Fond,Oui,mesures fixes,Max. journalier moy. hor.,79.3,79.26667,µg-m3,100.0,100,100.0,R,1,50.61048,1.99145
Cappelle la Grande,4358.1,ATMO HAUTS DE FRANCE,FR32ZAR01,ZAR COTE-D-OPALE,FR10029,Périurbaine,O3,Fond,Oui,mesures fixes,Max. journalier moy. hor.,82.0,82.0,µg-m3,100.0,100,100.0,R,1,50.99594,2.36627
Cartignies,4364.3,ATMO HAUTS DE FRANCE,FR32ZRE01,ZR HAUTS-DE-FRANCE,FR06133,Rurale près des villes,O3,Fond,Oui,mesures fixes,Max. journalier moy. hor.,56.4,56.4,µg-m3,100.0,100,100.0,R,1,50.09225,3.85003
Denain Villars,4726.3,ATMO HAUTS DE FRANCE,FR32ZAG01,ZAG BLDV,FR06011,Périurbaine,O3,Fond,Oui,mesures fixes,Max. journalier moy. hor.,61.8,61.75,µg-m3,100.0,100,100.0,R,1,50.32276,3.39593
Douai Theuriet,4300.5,ATMO HAUTS DE FRANCE,FR32ZAG01,ZAG BLDV,FR06003,Urbaine,O3,Fond,Oui,mesures fixes,Max. journalier moy. hor.,59.8,59.75,µg-m3,100.0,100,100.0,R,1,50.37822,3.06586
Faiencerie Creil,4665.3,ATMO HAUTS DE FRANCE,FR32ZAR03,ZAR CREIL,FR18043,Urbaine,O3,Fond,Oui,mesures fixes,Max. journalier moy. hor.,58.5,58.45,µg-m3,100.0,100,100.0,R,1,49.259552,2.474397
Halluin stade,4009.9,ATMO HAUTS DE FRANCE,FR32ZAG02,ZAG LILLE,FR11026,Périurbaine,O3,Fond,Oui,mesures fixes,Max. journalier moy. hor.,60.6,60.575,µg-m3,50.0,100,50.0,N,-1,50.775482,3.12568
Harnes Serres,4640.0,ATMO HAUTS DE FRANCE,FR32ZAG01,ZAG BLDV,FR28010,Périurbaine,O3,Fond,Oui,mesures fixes,Max. journalier moy. hor.,58.0,58.0,µg-m3,100.0,100,100.0,R,1,50.44914,2.9
Marcq CTM,296.0,ATMO HAUTS DE FRANCE,FR32ZAG02,ZAG LILLE,FR11016,Urbaine,O3,Fond,Oui,mesures fixes,Max. journalier moy. hor.,71.0,70.96667,µg-m3,100.0,100,100.0,R,1,50.67003,3.07656
Maubeuge Joyeuse,3603.3,ATMO HAUTS DE FRANCE,FR32ZRE01,ZR HAUTS-DE-FRANCE,FR06007,Urbaine,O3,Fond,Oui,mesures fixes,Max. journalier moy. hor.,62.2,62.175,µg-m3,100.0,100,100.0,R,1,50.27936,3.97691
Neuilly-Saint-Front,4024.9,ATMO HAUTS DE FRANCE,FR32ZRE01,ZR HAUTS-DE-FRANCE,FR18057,Rurale régionale,O3,Fond,Oui,mesures fixes,Max. journalier moy. hor.,57.7,57.7,µg-m3,100.0,100,100.0,R,1,49.174931,3.260819
Noeux-les-Mines,4634.6,ATMO HAUTS DE FRANCE,FR32ZAG01,ZAG BLDV,FR28033,Périurbaine,O3,Fond,Oui,mesures fixes,Max. journalier moy. hor.,72.7,72.7,µg-m3,100.0,100,100.0,R,1,50.48972,2.66642
Outreau,3933.1,ATMO HAUTS DE FRANCE,FR32ZAR01,ZAR COTE-D-OPALE,FR10032,Périurbaine,O3,Fond,Oui,mesures fixes,Max. journalier moy. hor.,76.6,76.6,µg-m3,100.0,100,100.0,R,1,50.69435,1.57657
P. Roth St Quentin,3440.9,ATMO HAUTS DE FRANCE,FR32ZRE01,ZR HAUTS-DE-FRANCE,FR18042,Urbaine,O3,Fond,Oui,mesures fixes,Max. journalier moy. hor.,58.3,58.3,µg-m3,100.0,100,100.0,R,1,49.851334,3.284
Roye,3874.6,ATMO HAUTS DE FRANCE,FR32ZRE01,ZR HAUTS-DE-FRANCE,FR18045,Rurale près des villes,O3,Fond,Oui,mesures fixes,Max. journalier moy. hor.,60.0,60.0,µg-m3,100.0,100,100.0,R,1,49.696697,2.801139
Saint Amand,3810.7,ATMO HAUTS DE FRANCE,FR32ZAG01,ZAG BLDV,FR06134,Périurbaine,O3,Fond,Oui,mesures fixes,Max. journalier moy. hor.,58.9,58.875,µg-m3,100.0,100,100.0,R,1,50.45647,3.42794
Salouel,3850.5,ATMO HAUTS DE FRANCE,FR32ZAR02,ZAR AMIENS,FR18035,Périurbaine,O3,Fond,Oui,mesures fixes,Max. journalier moy. hor.,65.6,65.625,µg-m3,100.0,100,100.0,R,1,49.86889,2.239806
Sangatte,2125.2,ATMO HAUTS DE FRANCE,FR32ZAR01,ZAR COTE-D-OPALE,FR10025,Périurbaine,O3,Fond,Oui,mesures fixes,Max. journalier moy. hor.,71.1,71.1,µg-m3,100.0,100,100.0,R,1,50.94989,1.76917
St Omer Ribot,2617.5,ATMO HAUTS DE FRANCE,FR32ZAR01,ZAR COTE-D-OPALE,FR10041,Urbaine,O3,Fond,Oui,mesures fixes,Max. journalier moy. hor.,75.9,75.925,µg-m3,58.0,100,58.0,N,-1,50.74823,2.25978
St Pierre Amiens,2667.7,ATMO HAUTS DE FRANCE,FR32ZAR02,ZAR AMIENS,FR18053,Urbaine,O3,Fond,Oui,mesures fixes,Max. journalier moy. hor.,64.7,64.65,µg-m3,100.0,100,100.0,R,1,49.901667,2.304597
St Pol mer - cheminots,3912.6,ATMO HAUTS DE FRANCE,FR32ZAR01,ZAR COTE-D-OPALE,FR10017,Urbaine,O3,Fond,Oui,mesures fixes,Max. journalier moy. hor.,77.0,77.025,µg-m3,100.0,100,100.0,R,1,51.032761,2.332358
St-Laurent-Blangy,4693.1,ATMO HAUTS DE FRANCE,FR32ZAR04,ZAR ARRAS,FR28022,Périurbaine,O3,Fond,Oui,mesures fixes,Max. journalier moy. hor.,60.4,60.375,µg-m3,100.0,100,100.0,R,1,50.30886,2.807369
Tourcoing Houpline,4573.5,ATMO HAUTS DE FRANCE,FR32ZAG02,ZAG LILLE,FR11038,Urbaine,O3,Fond,Oui,mesures fixes,Max. journalier moy. hor.,42.3,42.275,µg-m3,38.0,100,38.0,N,-1,50.733333,3.173611
Valenciennes Acacias,4040.1,ATMO HAUTS DE FRANCE,FR32ZAG01,ZAG BLDV,FR06001,Urbaine,O3,Fond,Oui,mesures fixes,Max. journalier moy. hor.,60.8,60.8,µg-m3,100.0,100,100.0,R,1,50.35853,3.50804
Wattignies,3976.0,ATMO HAUTS DE FRANCE,FR32ZAG02,ZAG LILLE,FR11114,Périurbaine,O3,Fond,Oui,mesures fixes,Max. journalier moy. hor.,65.3,65.275,µg-m3,42.0,100,42.0,N,-1,50.59774,3.04946
Alençon Météo-France,4800.4,ATMO NORMANDIE,FR28ZRE02,ZR NORMANDIE,FR21031,Périurbaine,O3,Fond,Oui,mesures fixes,Max. journalier moy. hor.,73.3,73.3,µg-m3,100.0,100,100.0,A,1,48.445553,0.110833
Base loisirs Poses,5222.8,ATMO NORMANDIE,FR28ZRE02,ZR NORMANDIE,FR25049,Rurale près des villes,O3,Fond,Oui,mesures fixes,Max. journalier moy. hor.,72.6,72.55,µg-m3,100.0,100,100.0,R,1,49.30487,1.214367
Bures-en-bray,4383.5,ATMO NORMANDIE,FR28ZRE02,ZR NORMANDIE,FR25050,Rurale régionale,O3,Fond,Oui,mesures fixes,Max. journalier moy. hor.,76.6,76.6,µg-m3,100.0,100,100.0,A,1,49.78122,1.345083
Caen Chemin-Vert,3869.6,ATMO NORMANDIE,FR28ZAR02,ZAR CAEN,FR21001,Urbaine,O3,Fond,Oui,mesures fixes,Max. journalier moy. hor.,75.0,74.95,µg-m3,100.0,100,100.0,A,1,49.19222,-0.391111
Centre Hospitalier,4573.0,ATMO NORMANDIE,FR28ZAG01,ZAG ROUEN,FR25043,Urbaine,O3,Fond,Oui,mesures fixes,Max. journalier moy. hor.,78.3,78.325,µg-m3,100.0,100,100.0,R,1,49.4005,1.099042
Cherbourg Hotel de Ville,4297.2,ATMO NORMANDIE,FR28ZRE02,ZR NORMANDIE,FR21038,Urbaine,O3,Fond,Oui,mesures fixes,Max. journalier moy. hor.,78.2,78.2,µg-m3,100.0,100,100.0,A,1,49.64225,-1.624361
Dieppe Golf,6232.9,ATMO NORMANDIE,FR28ZRE02,ZR NORMANDIE,FR25055,Périurbaine,O3,Fond,Oui,mesures fixes,Max. journalier moy. hor.,73.8,73.775,µg-m3,100.0,100,100.0,R,1,49.920492,1.047892
Espace du Palais,4240.9,ATMO NORMANDIE,FR28ZAG01,ZAG ROUEN,FR25036,Urbaine,O3,Fond,Oui,mesures fixes,Max. journalier moy. hor.,72.7,72.725,µg-m3,92.0,100,92.0,R,1,49.442358,1.093789
Evreux Centre,4599.6,ATMO NORMANDIE,FR28ZRE02,ZR NORMANDIE,FR25039,Urbaine,O3,Fond,Oui,mesures fixes,Max. journalier moy. hor.,73.0,73.025,µg-m3,100.0,100,100.0,A,1,49.02134,1.148319
Fécamp,4887.1,ATMO NORMANDIE,FR28ZRE02,ZR NORMANDIE,FR05088,Périurbaine,O3,Fond,Oui,mesures fixes,Max. journalier moy. hor.,81.5,81.5,µg-m3,100.0,100,100.0,A,1,49.75,0.4159
Honfleur Sce Tech.,3853.3,ATMO NORMANDIE,FR28ZRE02,ZR NORMANDIE,FR05040,Urbaine,O3,Fond,Oui,mesures fixes,Max. journalier moy. hor.,75.0,75.0,µg-m3,100.0,100,100.0,A,1,49.415108,0.2437
IFS Caen sud,4764.3,ATMO NORMANDIE,FR28ZAR02,ZAR CAEN,FR21019,Urbaine,O3,Fond,Oui,mesures fixes,Max. journalier moy. hor.,76.4,76.425,µg-m3,100.0,100,100.0,A,1,49.15167,-0.352778
La Coulonche MERA,5182.8,ATMO NORMANDIE,FR28ZRE02,ZR NORMANDIE,FR21050,Rurale nationale,O3,Fond,Oui,mesures fixes,Max. journalier moy. hor.,75.2,75.2,µg-m3,100.0,100,100.0,A,1,48.645,-0.458333
Le Havre Ec. Herriot,5368.4,ATMO NORMANDIE,FR28ZAR01,ZAR LE-HAVRE,FR05074,Urbaine,O3,Fond,Oui,mesures fixes,Max. journalier moy. hor.,80.9,80.85,µg-m3,100.0,100,100.0,A,1,49.48963,0.100703
Le Havre ville-haute,5745.7,ATMO NORMANDIE,FR28ZAR01,ZAR LE-HAVRE,FR05090,Urbaine,O3,Fond,Oui,mesures fixes,Max. journalier moy. hor.,82.3,82.325,µg-m3,100.0,100,100.0,A,1,49.514686,0.100645
Lisieux,4355.6,ATMO NORMANDIE,FR28ZRE02,ZR NORMANDIE,FR21021,Urbaine,O3,Fond,Oui,mesures fixes,Max. journalier moy. hor.,71.5,71.525,µg-m3,100.0,100,100.0,A,1,49.147224,0.227222
Maison Parc Brotonne,6383.3,ATMO NORMANDIE,FR28ZRE02,ZR NORMANDIE,FR05087,Rurale régionale,O3,Fond,Oui,mesures fixes,Max. journalier moy. hor.,8.2,8.23333,µg-m3,8.0,100,8.0,N,-1,49.498295,0.758833
Mesnil Esnard,5478.3,ATMO NORMANDIE,FR28ZAG01,ZAG ROUEN,FR25040,Périurbaine,O3,Fond,Oui,mesures fixes,Max. journalier moy. hor.,76.6,76.6,µg-m3,100.0,100,100.0,A,1,49.40619,1.15515
Ouistreham,5038.6,ATMO NORMANDIE,FR28ZAR02,ZAR CAEN,FR21017,Périurbaine,O3,Fond,Oui,mesures fixes,Max. journalier moy. hor.,76.5,76.5,µg-m3,100.0,100,100.0,A,1,49.289444,-0.257778
Saint-Lô Eglise,4650.1,ATMO NORMANDIE,FR28ZRE02,ZR NORMANDIE,FR21040,Urbaine,O3,Fond,Oui,mesures fixes,Max. journalier moy. hor.,77.4,77.425,µg-m3,100.0,100,100.0,A,1,49.11639,-1.084722
St Romain de Colbosc,3909.0,ATMO NORMANDIE,FR28ZAR01,ZAR LE-HAVRE,FR05010,Périurbaine,O3,Fond,Oui,mesures fixes,Max. journalier moy. hor.,74.7,74.675,µg-m3,100.0,100,100.0,A,1,49.528927,0.358733
Touques,4277.3,ATMO NORMANDIE,FR28ZRE02,ZR NORMANDIE,FR05082,Périurbaine,O3,Fond,Oui,mesures fixes,Max. journalier moy. hor.,70.5,70.45,µg-m3,100.0,100,100.0,A,1,49.348,0.109253
AIRVAULT - Stade Laillé,3908.3,ATMO NOUVELLE-AQUITAINE,FR75ZRE02,ZR NOUVELLE-AQUITAINE,FR09304,Périurbaine,O3,Fond,Oui,mesures fixes,Max. journalier moy. hor.,94.7,94.65,µg-m3,96.0,100,96.0,R,1,46.823796,-0.135634
AIRVAULT 3,745.3,ATMO NOUVELLE-AQUITAINE,FR75ZRE02,ZR NOUVELLE-AQUITAINE,FR09304,Périurbaine,O3,Fond,Oui,mesures fixes,Max. journalier moy. hor.,68.1,68.05,µg-m3,100.0,100,100.0,R,1,46.823796,-0.135634
AMBES,5827.2,ATMO NOUVELLE-AQUITAINE,FR75ZAG01,ZAG BORDEAUX,FR31010,Périurbaine,O3,Fond,Oui,mesures fixes,Max. journalier moy. hor.,50.7,50.725,µg-m3,100.0,100,100.0,R,1,45.014777,-0.533942
Aytré,5484.4,ATMO NOUVELLE-AQUITAINE,FR75ZRE02,ZR NOUVELLE-AQUITAINE,FR09008,Périurbaine,O3,Fond,Oui,mesures fixes,Max. journalier moy. hor.,72.6,72.6,µg-m3,100.0,100,100.0,R,1,46.135134,-1.117086
BASSENS,5575.9,ATMO NOUVELLE-AQUITAINE,FR75ZAG01,ZAG BORDEAUX,FR31007,Urbaine,O3,Fond,Oui,mesures fixes,Max. journalier moy. hor.,51.3,51.25,µg-m3,100.0,100,100.0,A,1,44.900296,-0.515835
BILLERE,5871.6,ATMO NOUVELLE-AQUITAINE,FR75ZRE02,ZR NOUVELLE-AQUITAINE,FR31013,Urbaine,O3,Fond,Oui,mesures fixes,Max. journalier moy. hor.,73.6,73.625,µg-m3,100.0,100,100.0,R,1,43.310797,-0.391543
